,user_name,user_location,user_description,user_verified,date,text,hashtags,source,cleaned_text
18,Javid Abderezaei,United States,PhD candidate at Stevens Institute of Technology,False,2022-03-14 06:48:05,"Wordle 268 4/6

⬛⬛⬛🟨🟨
🟨⬛⬛⬛🟩
⬛🟨⬛⬛⬛
🟩🟩🟩🟩🟩",,Twitter Web App,Wordle ⬛⬛⬛🟨🟨 🟨⬛⬛⬛🟩 ⬛🟨⬛⬛⬛ 🟩🟩🟩🟩🟩
19,elijah,mygirlfriends#1fan,"obsessed with the most beautiful girl in this universe lindsay, whom i can call my girlfriend ♥️",False,2022-03-14 06:48:05,@lindsayy0518 me too 😏 https://t.co/fpuh6Ug0Jy,,Twitter for iPhone,lindsayy0518 http //t.co/fpuh6Ug0Jy
20,ياسرة,,Cute and sassy,False,2022-03-14 06:48:05,"@Lachi_nochi @DhjPvt @SagrikaKissu You're fking dumb, dude.",,Twitter for Android,Lachi_nochi DhjPvt SagrikaKissu fking dumb dude
21,Young Women in Sustainable Development,,"Young women working towards an inclusive, sustainable future.",False,2022-03-14 06:48:05,Whether you’re a young woman currently working in this space or interested in getting involved we’d love to hear your thoughts through our survey here: https://t.co/SipHui6aDo https://t.co/ro36rPPtau,,Twitter Web App,Whether young woman currently working space interested getting involved love hear thought survey http //t.co/SipHui6aDo http //t.co/ro36rPPtau
22,ً,they! black,connect (2022) dir. takashi miike (was wihyeonyi),False,2022-03-14 06:48:05,"@shainenm can they do it faster, i'm on my deathbed https://t.co/8G7AYAYBuB",,Twitter for Android,shainenm faster deathbed http //t.co/8G7AYAYBuB
23,Raven,,Chef life! prn: He/him I love playing Genshin NA AR56! minors DNI PLEASE! won't fb if your age isn't 18+! Priv acc: @KakawwwNoir,False,2022-03-14 06:48:05,@anherchist LMAOOO was I rifht??,,Twitter for Android,anherchist LMAOOO rifht
24,シュウ,UC,"哀堀 柊, UCエネルギー開発事業部所属, 社畜, 長男, 地球人, 地球へは行ったことがない, 酒を飲むと最悪な状態になる, リエムの彼氏(@c2h2ascl3)",False,2022-03-14 06:48:05,Where were you when I needed you last winter?,,twittbot.net,Where needed last winter
25,Limit Puhzessed,Code puhzessed,F/A @LimitGGs ~ surpass your limits,False,2022-03-14 06:48:05,@pdplague R u trolling,,Twitter for iPhone,pdplague trolling
26,gingercat(pumpkin)andmum2,🚀 to the outer edge of space,🐞🐞🌻🌻,False,2022-03-14 06:48:05,@JoyfullCat Always think 🤔 his arrogant and his wife is a whinging try hard.,,Twitter for Android,JoyfullCat Always think arrogant wife whinging hard
27,zobjobs - UK Remote Jobs,United Kingdom UK GB,"Thousands of the Latest Working From Home Jobs updated every hour & Free job postings from the fastest growing jobs platform
#remotework #workfromhome",False,2022-03-14 06:48:05,"Contracts Manager - Prime Residential Refurbishments
at Brandon James Ltd
Contracts Manager Prime Residential Refurbishments A long sta...
#HomeBased #workfromanywhere 
https://t.co/nobZJMlfcQ",,zGB2,Contracts Manager Prime Residential Refurbishments Brandon James Contracts Manager Prime Residential Refurbishments long HomeBased workfromanywhere http //t.co/nobZJMlfcQ
28,yunyun ♡'s kylem a lot!!, 14 - 16 !  //  ic : ishijinko,"#CHONGYUN — ❝ Don't be fooled by his air and graces... He's a prankster to the core! ❞  

「 @kylemnotcalm's biggest fan 」",False,2022-03-14 06:48:05,You all are lucky I didn't post my thread dedicated to kyky here,,Twitter Web App,lucky post thread dedicated kyky
29,Truth of the Universe,Within everyone,"Whenever you wrong someone, it's always yourself. All of us are in all of us & it's all all of us. Separation is an endbeing illusion & it's so~Nice to be nice.",False,2022-03-14 06:48:05,"Anyone else notice that Anti-gay Republicans seem to be the worst kind of gay Republicans? They're literally writing the gayest of laws (just for gay) for the gayest of reasons. (Being gay) - which is so very gay.. ~ Snow flakes don't come in more fragile forms.. So, soo gay.. https://t.co/yg4ws0fXOW",,Twitter Web App,Anyone else notice Anti-gay Republicans seem worst kind Republicans They literally writing gayest law gayest reason Being gay.. Snow flake come fragile forms.. gay.. http //t.co/yg4ws0fXOW
30,OD/S-53A,REDACTED,"Engineering AI from a parallel universe. Streaming games like KSP and Factorio. Usually streaming Saturday, but a bit spotty due to AI Engineering University.",False,2022-03-14 06:48:05,"curse you, National Socialist party, for ruining 4-way rotational symmetry for everyone https://t.co/PdDQN5y22Q",,Twitter Web App,curse National Socialist party ruining 4-way rotational symmetry everyone http //t.co/PdDQN5y22Q
31,Vineet || Loose whenever I hold,Moon,🥵🥵🥵,False,2022-03-14 06:48:05,"LiveArtX is giving exclusive free mint access to NFT membership. 10,000 Mystery Boxes, Six Different Levels. Follow their Twitter &amp; signup using the link in the bio ☞  https://t.co/JcYPPu1fsI",,Twitter for Android,"LiveArtX giving exclusive free mint access membership 10,000 Mystery Boxes Different Levels Follow Twitter signup using link http //t.co/JcYPPu1fsI"
32,🕶♛,blackpink's,blackpink akgae,False,2022-03-14 06:48:05,YASS GIRL!! IM SO PROUD OF YOU https://t.co/lMwg7VF5gz,,Twitter Web App,YASS GIRL PROUD http //t.co/lMwg7VF5gz
33,NailsPlease!,,i'm guessing you're here cuz u need some bomb lookin nails... https://t.co/zoaoq6PU5z,False,2022-03-14 06:48:05,YASS GIRL!! IM SO PROUD OF YOU https://t.co/lMwg7VF5gz,,Twitter Web App,YASS GIRL PROUD http //t.co/lMwg7VF5gz
34,Mrz_,nowhere stop reading its rude ,"i have no idea what i am doing,",False,2022-03-14 06:48:05,@youtooz Obviously black what else would i have choose,,Twitter for Android,youtooz Obviously black else would choose
35,nearby Airdrop,Metaverse,"Makes it easy to discover #Airdrop 100X 💎
@waivtoken #waivlengthbeta",False,2022-03-14 06:48:05,"🔥 LiveArtX Airdrop 🔥
➡️ Claim : https://t.co/iwkszLqOLK
➖ Complete the Tasks
➖ Done

#LFG #Airdrop #100xgems @waivtoken #waivlengthbeta","['LFG', 'Airdrop', '100xgems', 'waivlengthbeta']",Twitter Web App,LiveArtX Airdrop Claim http //t.co/iwkszLqOLK Complete Tasks Done Airdrop 100xgems waivtoken waivlengthbeta
36,Sbonda Rhimes,Apha na phaya(GP/UTA),Still don't know who the Gumba Fire belongs to.,False,2022-03-14 06:48:05,Folks being dribbled by what cameo's are is still killing me. https://t.co/gJoU6BXDoT,,Twitter for Android,Folks dribbled cameo still killing http //t.co/gJoU6BXDoT
37,francis Mupeta,"Maamba, Zambia",working in health care especially where its needed the most...rural areas!,False,2022-03-14 06:48:05,@MayoClinicINFD Amoeba liver abscess,,Twitter for Android,MayoClinicINFD Amoeba liver abscess
38,🌸Serena🌸 セレナ #StandForUkraine💙💛,"Utah, USA","Serena, a nerd; loves to read. ||Artist•Writer•Photographer|| Don't Repost My Art!!! (Semi NSFW)♉/Pan/INFP/Biology Major ||
TheRaikume",False,2022-03-14 06:48:05,5 people followed me and 2 people unfollowed me // automatically checked by https://t.co/ID4FKtOk64,,fllwrs,people followed people unfollowed automatically checked http //t.co/ID4FKtOk64
39,La Fayette,WORLD,NFT Hunter,False,2022-03-14 06:48:05,@PunkCollect @ramcnft 0xcD7244A0150aF6520EFc730eD4c340d6FF15cD0f,,Twitter Web App,PunkCollect ramcnft 0xcD7244A0150aF6520EFc730eD4c340d6FF15cD0f
40,Alyce Loves Chipotle/Trader Joe’s,"Fresno, CA",49ers Faithful. Jimmy G historian. Awkward Football Takes. Chipotle Connoisseur. Target Run(ner). Simone Biles the 🐐 once liked my tweet. 🇺🇲🇲🇽🇵🇹,False,2022-03-14 06:48:05,@_Handy_Man__ Thanks!,,Twitter for iPhone,_Handy_Man__ Thanks
41,Alok Kumar Mishra,"New Delhi, India","Assistant Professor at SCERT Delhi, Writer, Poet, Learner, Secular person, Diversity lover.",False,2022-03-14 06:48:05,@Iam_GIRIJESH Thanks a lot dear,,Twitter for Android,Iam_GIRIJESH Thanks dear
42,_•파타•_,"Kedah, Malaysia","I ❤music than people😘
just kpop things
cat lover 😘😘",False,2022-03-14 06:48:05,@snowflowergifts Done all the ruless..tysm for the giveaway 🤩🤩🤩 https://t.co/1WSe4XxC9I,,Twitter for Android,snowflowergifts Done ruless..tysm giveaway http //t.co/1WSe4XxC9I
43,Alok Kumar Mishra,"New Delhi, India","Assistant Professor at SCERT Delhi, Writer, Poet, Learner, Secular person, Diversity lover.",False,2022-03-14 06:48:05,"@ManuGulati11 Thank you so much @ManuGulati11 , you are one who always motivates me.",,Twitter for Android,ManuGulati11 Thank much ManuGulati11 always motivates
44,Horas Indra,,"2022 semoga bisa ganti hp baru 

#DOYOUNG #도영
#NCT_DOYOUNG @NCTsmtown_127",False,2022-03-14 06:48:05,"@ShopeeID B. RAINBOW SPECTRUM #ShopeeKasihOPPOReno7Z5G
B. RAINBOW SPECTRUM #ShopeeKasihOPPOReno7Z5G
B. RAINBOW SPECTRUM #ShopeeKasihOPPOReno7Z5G
B. RAINBOW SPECTRUM #ShopeeKasihOPPOReno7Z5G
6.933","['ShopeeKasihOPPOReno7Z5G', 'ShopeeKasihOPPOReno7Z5G']",Twitter Web App,ShopeeID RAINBOW SPECTRUM ShopeeKasihOPPOReno7Z5G RAINBOW SPECTRUM ShopeeKasihOPPOReno7Z5G RAINBOW SPECTRUM ShopeeKasihOPPOReno7Z5G RAINBOW SPECTRUM ShopeeKasihOPPOReno7Z5G 6.933
45,Deals & Price Mistakes,contactcheapprr@gmail.com,"Plug for the best deals, price mistakes, & sales on the internet. Amazon Associate. Tweets contain affiliate links we earn from. Bot by Viral Social LLC",False,2022-03-14 06:48:05,"Stanley Wet/Dry Vac for $59!!! (retail $100)

https://t.co/NMSg0JLkoY https://t.co/99nYxiDJEr",,Cheapprr,Stanley Wet/Dry retail http //t.co/NMSg0JLkoY http //t.co/99nYxiDJEr
46,Paul Willey,York England,Any views aired are mine and mine only!,False,2022-03-14 06:48:05,"@_Matty723 Yes...
This team can do anything, probably the best group of players I've seen assembled in my lifetime.
Taking into account how football has changed from the 1970s to now!
Anything is possible. 
Gone are the days I shit myself if we go a goal down!",,Twitter Web App,_Matty723 This team anything probably best group player seen assembled lifetime Taking account football changed 1970s Anything possible Gone day shit goal
47,FreyaL Jones,,"Im 26
Autistic
Loves cats
i love tiny tim singer
and i love vinyls",False,2022-03-14 06:48:05,@Angeblaahblaah Ive gone off chocolate i can only eat dark chocolate now but later on im gonna send u a picture of the chillie dark chocolate bar xx,,Twitter for Android,Angeblaahblaah gone chocolate dark chocolate later send picture chillie dark chocolate
48,Séamus Mateus,England and Australia,Blessed with the type of White Privilege whose ancestors survived the Irish Potato Famine and Pogroms.,False,2022-03-14 06:48:05,"Did you watch the BAFTA’s last night?
#BAFTAs",['BAFTAs'],Twitter for iPhone,watch BAFTA last night BAFTAs
49,S🌻,Canada,Afghan | الله,False,2022-03-14 06:48:05,Daylight savings has ruined my already ruined sleeping schedule,,Twitter for iPhone,Daylight saving ruined already ruined sleeping schedule
50,ryeu,17 she her,the genre is yang jungwon,False,2022-03-14 06:48:05,@sunjayonly Right,,Twitter for Android,sunjayonly Right
51,downfall,,peak #1 radiant 👨🏿,False,2022-03-14 06:48:05,@NaniSK6 bro i was going for a run in a forest area there was a lil bridge and under it some 70 year old spray painting the whole bridge with nazi symbols,,Twitter Web App,NaniSK6 going forest area bridge year spray painting whole bridge nazi symbol
52,J Stewart,United States,I write music 4 others and me willing 2 sell them my rules DM.I love to write positive songs no hate. Be you The link is the artist that made my profile picture,False,2022-03-14 06:48:05,@iamjeremyrosado you are a very special singer and one that I hope and that you keep singing showing your heart,,Twitter for Android,iamjeremyrosado special singer hope keep singing showing heart
53,Toria Bono FCCT #TinyVoiceTalks,"South East, England","Primary teacher; Equity, Diversity & Representation lead; Coach; Founder of #TinyVoiceTalks & podcaster https://t.co/K89xnlZUj8 🦋",False,2022-03-14 06:48:05,@PaulGarvey4 Have a great week Paul and everyone at #teacher5oclockclub https://t.co/X6db3qRXGE,['teacher5oclockclub'],Twitter for iPhone,PaulGarvey4 Have great week Paul everyone teacher5oclockclub http //t.co/X6db3qRXGE
54,Schwannity,,Draw. Eat. Bath. Manga. Anime. Sleep. AaaaAhhhaaaAhh!!!,False,2022-03-14 06:48:05,"@aSlimeArtist Me, directly eating from container using spoons.",,Twitter for Android,aSlimeArtist directly eating container using spoon
55,V,,"Rose Teaching. 🌹
HQ",False,2022-03-14 06:48:05,"I’m afraid the Einsatzgruppen is already In Ukraine, hearing stories of troops taking disabled migets  away.",,Twitter Web App,afraid Einsatzgruppen already Ukraine hearing story troop taking disabled migets away
56,ebbg slight,"Quezon City, National Capital ",☁ bns acc | enhypen ^·^,False,2022-03-14 06:48:05,thx pi so much idol cutie pie https://t.co/knUdke5ZMl,,Twitter for Android,much idol cutie http //t.co/knUdke5ZMl
57,soloTombé,,,False,2022-03-14 06:48:05,"@welove2jam @loveindoe I never try to delete her ethnic black  roots..that a non sense.. you sound like all black people have the same roots..im not ok With that..as an african, i cannot understand what is to be a black in america. Since we dont share the same history.",,Twitter for iPhone,welove2jam loveindoe never delete ethnic black roots..that sense.. sound like black people roots..im With that..as african understand black america Since dont share history
58,ala : open,O7.OO - OO.OO,"🍥 #BUSIN3SS 🍡 esp spesialist :: verif, convert, jastip acc only, sell acc (ba/ca/rp/inact/fa/ig/tiktok) 🧺 trusted 💯% est 2019. testi cv ⁉️klik #alacv 📂🖇",False,2022-03-14 06:48:05,"@rianti74194632 Wts acc CA rame jb

4. https://t.co/pslCqu4rah
5. https://t.co/xSphwyqHlX 19k

4 : 26k

★ go green 
☆ v all
☆ rame jb
★ masuk ht-mt
☆ dapet nomor BA verif",,Twitter for Android,rianti74194632 rame http //t.co/pslCqu4rah http //t.co/xSphwyqHlX green rame masuk ht-mt dapet nomor verif
59,Shikage_visage,,Crypto Collector Big Time Hodler,False,2022-03-14 06:48:05,"@ShikageSamurai @CryptoGemsCom @ShikageEth Buy some shikage currently at 0.0003 ready to rocket to $1 in 2022 🔥Brand new nfts🔥📊Relocked LP📊

@ShikageEth #SHKG #nft #NFT #NFTCommunity #SHIKAGERELOCK  #NFTGiveaway #SHIKAGE #SHIKAGENEXT1000X #KAGELOCK #crypto #altcoin #nftcollector #metaverse

https://t.co/dJuaUnIfqq",,Twitter Web App,ShikageSamurai CryptoGemsCom ShikageEth shikage currently 0.0003 ready rocket 2022 🔥Brand nfts🔥📊Relocked ShikageEth SHKG NFTCommunity SHIKAGERELOCK NFTGiveaway SHIKAGE SHIKAGENEXT1000X KAGELOCK crypto altcoin nftcollector metaverse http //t.co/dJuaUnIfqq
60,TVDarknight,http://twitch.tv/tvdarknight,"Gregs favorite youtuber
Streams at - https://t.co/ELi8RxlUd1",False,2022-03-14 06:48:05,"Does your brain ever come up with the wierdest things... like.. I was in a call (rn) and I was just like... ""I wouldnt be mad if I got 69420 rn tho""... #ThinkingOutLoud",,Twitter Web App,Does brain ever come wierdest thing like.. call like wouldnt 69420 ThinkingOutLoud
61,Ehsan Salahuddin,Karachi,,False,2022-03-14 06:48:05,Good points. https://t.co/pUwyL8PDnA,,Twitter for Android,Good point http //t.co/pUwyL8PDnA
62,Gideon fidy,"Lagos, Nigeria",God First | Business/Financial Analyst. Business-Akuma.gideon@gmail.com,False,2022-03-14 06:48:05,"@iykimo Pls remove that G and just say MB, his Gen. is unless.",,Twitter for iPhone,iykimo remove Gen. unless
63,mads⁷ ulol na kay jungkook,"they/she, 20+ ",ㅤ             ⠀𓂃 forever and beyond 𝗯𝘁𝘀 ## ₍ᐢ..ᐢ₎,False,2022-03-14 06:48:05,"@hijungkook_ ANGELIC VOCALIST SEOKJIN  

Listen to #Yours_Jin the best OST of 2021 and #SuperTuna_Jin the global viral hit song by  #BTSJIN of @BTS_twt","['Yours_Jin', 'SuperTuna_Jin']",Twitter for Android,hijungkook_ ANGELIC VOCALIST SEOKJIN Listen Yours_Jin best 2021 SuperTuna_Jin global viral song BTSJIN BTS_twt
64,Mini Nair,,"Author, The Fourth Passenger",False,2022-03-14 06:48:05,@Suresh_Mathew_ @rahuldholakia That too,,Twitter for iPhone,Suresh_Mathew_ rahuldholakia That
65,notimeforspaces,"Hollywood, Los Angeles",,False,2022-03-14 06:48:05,"@007AndAHalf_ @thehill “And the day will come when the mystical generation of Jesus, by the supreme being as his father in the womb of a virgin, will be classed with the fable of the generation of Minerva in the brain of Jupiter.”
Thomas Jefferson",,Twitter for iPhone,007AndAHalf_ thehill come mystical generation Jesus supreme father womb virgin classed fable generation Minerva brain Jupiter. Thomas Jefferson
66,Mark A Cruz,,Father. Concerned about the world and where we're headed.,False,2022-03-14 06:48:05,"@JohnRHinton2 A couple of times. 

Both almost comical:
1st one in 6th grade was fast. I smart-assed, got punched in the nose (still have the bump &amp; deviated septum) and that ended that. 

Next was a bar brawl where the bartender jumped the bar and picked me up in a bear hug. Hurt his back 😂",,Twitter for Android,JohnRHinton2 couple time Both almost comical grade fast smart-assed punched nose still bump deviated septum ended Next brawl bartender jumped picked bear Hurt back
67,2 Thighz & A Biscuit,Murrrrrland (Maryland),"Don't show me your dick, show me your credit score. 40 & Over Twitter
#BBW #RetiredCougar #TravelingChick 
IG:  hipz4dayzzzzzzz",False,2022-03-14 06:48:05,Hood ass Detroit https://t.co/nx6gVNM2ej,,Twitter for Android,Hood Detroit http //t.co/nx6gVNM2ej
68,crypto aria,,,False,2022-03-14 06:48:05,"@nova_tnv @cz_binance Hi Guys! I FOUND A LEGIT PROJECT THAT CAN EXPLODE UP TO X1500 SO WHAT ARE YOU WAITING FOR JOINED NOW AND BUY This Gem Lets  FUCKING GO! @cz_binance  @elonmusk  @VitalikButerin  @BillGates TO THE MOON!🚀🚀🚀💯👌 
@Pongoinutoken
#PONGO #PONGOINU $PONGO
TG:
https://t.co/iIrIbXkMHU",,Twitter for Android,nova_tnv cz_binance Guys FOUND LEGIT PROJECT THAT EXPLODE X1500 WHAT WAITING JOINED This Lets FUCKING cz_binance elonmusk VitalikButerin BillGates MOON 🚀🚀🚀💯👌 Pongoinutoken PONGO PONGOINU PONGO http //t.co/iIrIbXkMHU
69,Always,,,False,2022-03-14 06:48:05,"I will always love you I, I will always love you love you I will always love you Bittersweet memories That is all I'm taking",,CherScrape,always love always love love always love Bittersweet memory That taking
70,𝒞𝒽𝑒𝓅𝒾 🐥🦜 𝔹𝕆ℝℕ 𝕋𝕆 𝕃𝕆𝕍𝔼 𝕐𝕆𝕆ℕ,WINNERCITY,Ꮤ 𝙍𝙚𝙙𝙝𝙚𝙖𝙙 𝙆𝙖𝙣𝙜 𝙎𝙚𝙪𝙣𝙜𝙮𝙤𝙤𝙣 𝙎𝙪𝙥𝙧𝙚𝙢𝙖𝙘𝙞𝙨𝙩 🔥🌶 ✨ 𝕆𝕟𝕝𝕪 𝕃𝕠𝕠𝕜 𝕒𝕥 𝔹𝕖𝕒𝕦𝕥𝕚𝕗𝕦𝕝 𝕋𝕙𝕚𝕟𝕘𝕤 ✨ 𝐖𝐈𝐍𝐍𝐄𝐑 𝐎𝐍𝐋𝐘,False,2022-03-14 06:48:05,Saw someone saying this chapter of one piece got the same energy with the end of harry potter and the deathly hallows aksjajakkaaj😭 this is stressing me out,,Twitter for iPhone,someone saying chapter piece energy harry potter deathly hallows aksjajakkaaj😭 stressing
71,PT,,Genshin Impact //📘🍦// 🧋🍡 • Luxiem //👟🦁//⚡️🔮⚡️,False,2022-03-14 06:48:05,My first fan art for Taichou. I love him sm 💛💛 #Briskart #Thumbjail https://t.co/W9TqPv0rJL,"['Briskart', 'Thumbjail']",Twitter for iPhone,first Taichou love Briskart Thumbjail http //t.co/W9TqPv0rJL
72,Joe Savino NIGHT TALK with Joe Roxx Thursdays 10PM,BOSTON MA,ARMED RADIO The MIX WEEKLY & SUNDAYS in BED  ONLY The BEST Down Tempo Deep House with  Weeknight Talk at Night Shows Mon -Fri,False,2022-03-14 06:48:05,NOW PLAYING https://t.co/UeiODupnDv - Dreaming of you by @SelenaLaLeyenda DON'T MISS OUR TALK at NIGHT SHOWS https://t.co/VLNIeGuNkC,,autopo.st-ARMED RADIO,PLAYING http //t.co/UeiODupnDv Dreaming SelenaLaLeyenda MISS TALK NIGHT SHOWS http //t.co/VLNIeGuNkC
73,Dominion Mandate Radio,"FOR PARTNERSHIP, click d link","Reaching The World With The Gospel Of Jesus Christ Through  Radio 

Send all requests to dmradio@dominioncity.cc",False,2022-03-14 06:48:05,"#NowPlaying Pastor David Ogbueli - Building Friendship

Prayer Lines: +2348029174344 ;+2349036370546
Sponsorship: +2348034954566 ; +2348157177650
Feedback: +2348034370332 ; +2349095874477

https://t.co/Hwe1DwK4my

#LTPDonthego #DominionMandateRadio #christianradio",['NowPlaying'],Radio King LiveTweet,NowPlaying Pastor David Ogbueli Building Friendship Prayer Lines +2348029174344 +2349036370546 Sponsorship +2348034954566 +2348157177650 Feedback +2348034370332 +2349095874477 http //t.co/Hwe1DwK4my LTPDonthego DominionMandateRadio christianradio
74,Parm Plummer FCCT,Jersey ,"Leader who is perpetually curious. GSL @WomenEd, Fellow of @CharteredColl, FRSA, Belmas, BERA & working on my MEd Educational Leadership & NPQH",False,2022-03-14 06:48:05,"@MissMika_eng @Mr_H1978 @WomenEdLondon Spot on. My reasoning exactly. Other workplaces are offering flex work in full time roles. Wfh options which don’t exist for teachers, compressed hours etc. How can schools compete?",,Twitter for iPhone,MissMika_eng Mr_H1978 WomenEdLondon Spot reasoning exactly Other workplace offering flex work full time role option exist teacher compressed hour school compete
